,DL Name,Type,Raw Block Size,Raw Block Photo,,Origin,Price Range,,,,,,,,,,,
,,,,,,,,Flamed,Sawn,Honed,Polished,Bush Hammered,Combed,Rippling,Rock Face,Sparrow Peck,Vein Cut,Cross Cut
New Grey,G654,Granite,2000x1000x750,,,"Fujian, China",$,✓,✓,✓,✓,,,,,,,
Zen Grey,_____,Granite,2400x1200x1000,,,"Shandong, China",$$,✓,✓,✓,✓,,,,,,,
Alpine White,___,Granite,2000x1000x750,,,"Liaoning, China",$,✓,✓,✓,✓,,,,,,,
Angola Black,____,Granite,3000x2000x1500,,,Angola,$$,✓,✓,✓,✓,✓,,,,,,
Juparana,____,Granite,2000x1000x750,,,"Fujian, China",$,✓,✓,✓,✓,,,,,,,
Golden Crust,_____,Granite,2000x1000x750,,,"Fujian, China",$,✓,✓,✓,✓,,,,,,,
Golden Crust,_____,Granite,2000x1000x750,,,"Fujian, China",$,✓,✓,✓,✓,,,,,,,
Tan Brown,___,Granite,2800x2000x1500,,,India,$,✓,✓,✓,✓,,,,,,,
Harcourt (tbc),G688,Granite,2400x1200x750,,,"Hunan, China",$,,,,,,,,,,,
Steel Blue,___,Bluestone,1800x900x700,,,"Guangdong, China",$,,✓,✓,,✓,✓,✓,✓,,,
Blueocean,_____,Bluestone,1800x900x700,,,"Hainan, China",$$,,✓,✓,,✓,✓,✓,✓,,,
Honey Comb,___,Bluestone,1300x1000x600,,,"Hainan, China",$$,,✓,✓,,,,,,,,
Ivory Sand,______,Sandstone,2000x1000x750,,,"Yuannan, China",$,,,✓,,✓,,,,✓,,
Toscany,______,Trvertine,2500*1500*1500,,,Iran,$$$,,,,,,,,,,✓,✓